 	Area	XM	YM	Circ.	Slice	AR	Round	Solidity
200	36	170.139	1046.250	0.139	56	5.928	0.169	0.450
201	54	140.852	1049.389	0.079	56	12.067	0.083	0.390
202	61	100.828	1053.385	0.075	56	14.573	0.069	0.394
203	37	1498.770	1126.500	0.083	56	28.187	0.035	0.507
204	656	1160.323	1130.555	0.009	56	232.122	0.004	0.364
205	59	1442.381	1127.280	0.073	56	27.762	0.036	0.524
206	29	868.845	1133.431	0.117	56	19.989	0.050	0.690
207	24	892.833	1133.208	0.142	56	11.011	0.091	0.615
208	39	918.577	1133.141	0.150	56	13.270	0.075	0.804
209	30	826.467	14.133	0.106	57	25.092	0.040	0.682
210	46	826.543	52.413	0.071	57	35.889	0.028	0.634
211	24	826.792	84.333	0.207	57	9.682	0.103	0.727
212	928	830.334	466.934	0.005	57	376.699	0.003	0.341
213	21	824.262	445.690	0.286	57	4.408	0.227	0.636
214	696	1334.874	604.154	0.551	57	1.562	0.640	0.893
215	525	354.410	605.395	0.218	57	1.084	0.922	0.729
216	22	1.682	651.864	0.189	57	4.538	0.220	0.595
217	26	2.115	681.308	0.183	57	5.843	0.171	0.486
218	38	826.921	691.079	0.111	57	13.734	0.073	0.710
219	26	826.846	714.038	0.195	57	9.479	0.105	0.743
220	195	835.110	908.326	0.021	57	87.903	0.011	0.375
221	39	828.756	886.885	0.097	57	16.983	0.059	0.678
222	20	828.800	912.100	0.184	57	6.900	0.145	0.588
223	21	836.357	1007.500	0.212	57	8.213	0.122	0.560
224	54	836.611	1042.426	0.067	57	32.917	0.030	0.603
225	36	827.528	180.750	0.088	58	30.401	0.033	0.679
226	609	830.671	506.554	0.007	58	260.784	0.004	0.324
227	551	357.170	684.123	0.231	58	1.266	0.790	0.656
228	694	1335.086	711.333	0.581	58	1.579	0.633	0.886
229	94	833.649	786.447	0.043	58	50.107	0.020	0.501
230	394	835.863	974.500	0.012	58	161.275	0.006	0.386
231	27	817.352	129.019	0.116	59	15.991	0.063	0.614
232	47	817.266	186.372	0.069	59	25.334	0.039	0.570
233	51	817.402	233.225	0.070	59	21.915	0.046	0.459
234	34	817.294	271.647	0.104	59	17.964	0.056	0.591
235	145	817.603	346.610	0.030	59	57.660	0.017	0.444
236	91	826.423	426.764	0.036	59	58.821	0.017	0.472
237	277	820.442	531.532	0.015	59	76.393	0.013	0.315
238	29	827.466	503.638	0.110	59	24.115	0.041	0.682
239	39	827.500	538.500	0.079	59	39.000	0.026	1.000
240	59	828.483	627.822	0.054	59	52.701	0.019	0.674
241	91	822.368	676.335	0.043	59	51.285	0.019	0.472
242	71	829.458	713.923	0.046	59	56.662	0.018	0.530
243	205	823.734	797.534	0.021	59	94.687	0.011	0.443
244	539	360.760	764.038	0.166	59	1.241	0.806	0.667
245	29	830.397	782.603	0.119	59	18.777	0.053	0.574
246	34	830.471	813.029	0.093	59	29.490	0.034	0.680
247	694	1334.718	819.187	0.583	59	1.590	0.629	0.898
248	66	825.424	929.318	0.052	59	45.948	0.022	0.597
249	25	832.500	953.500	0.122	59	25.000	0.040	1.000
250	97	1404.716	1127.593	0.042	59	41.349	0.024	0.412
251	110	1487.355	1126.755	0.039	59	48.477	0.021	0.493
252	26	1546.500	1126.385	0.138	59	15.910	0.063	0.578
253	616	1149.401	1130.677	0.009	59	222.215	0.005	0.398
254	57	871.114	1133.430	0.058	59	41.143	0.024	0.540
255	36	911.750	1133.139	0.132	59	13.323	0.075	0.720
256	532	364.205	844.870	0.190	60	1.174	0.852	0.712
257	697	1334.705	928.236	0.628	60	1.589	0.629	0.897
258	350	1272.203	1129.200	0.014	60	140.308	0.007	0.378
259	82	1520.098	1126.476	0.041	60	57.585	0.017	0.432
260	33	1570.561	1128.621	0.134	60	6.863	0.146	0.407
261	74	1435.068	1127.311	0.055	60	38.699	0.026	0.632
262	23	1472.326	1127.022	0.257	60	7.530	0.133	0.793
263	234	1062.350	1131.761	0.023	60	89.900	0.011	0.467
264	20	891.950	1133.250	0.171	60	10.079	0.099	0.645
265	448	368.350	927.317	0.244	61	1.329	0.753	0.727
266	679	1333.992	1038.541	0.620	61	1.591	0.629	0.899
267	400	371.862	1009.990	0.212	62	1.399	0.715	0.702
268	65	1443.746	1127.238	0.065	63	27.419	0.036	0.512
269	50	1523.620	1126.440	0.071	63	32.034	0.031	0.455
270	49	1567.480	1129.071	0.077	63	7.174	0.139	0.247
271	185	1288.911	1128.992	0.024	63	76.552	0.013	0.385
272	37	1399.932	1127.554	0.097	63	19.419	0.051	0.517
273	55	1170.882	1130.373	0.061	63	26.736	0.037	0.385
274	34	1206.794	1130.059	0.192	63	10.379	0.096	0.840
275	21	1050.690	1131.786	0.220	63	6.872	0.146	0.600
276	57	1088.325	1131.500	0.066	63	32.390	0.031	0.498
277	43	1126.430	1131.012	0.137	63	14.102	0.071	0.789
278	31	982.113	1132.468	0.104	63	25.256	0.040	0.681
279	31	1011.984	1132.339	0.130	63	16.696	0.060	0.660
280	23	1033.717	1132.109	0.173	63	9.211	0.109	0.676
281	43	376.895	1177.221	0.609	64	1.430	0.699	0.775
282	28	829.571	405.250	0.107	66	20.419	0.049	0.667
283	20	821.450	561.900	0.160	68	15.828	0.063	0.690
284	23	821.500	583.500	0.132	68	23.000	0.043	1.000
285	22	823.455	770.045	0.145	68	17.982	0.056	0.688
286	27	824.463	858.796	0.118	68	21.626	0.046	0.684
287	42	378.476	1178.405	0.563	68	2.021	0.495	0.743
288	105	379.995	1172.852	0.813	69	1.350	0.741	0.854
289	90	380.344	1167.589	0.726	70	1.876	0.533	0.857
290	41	380.329	1161.768	0.655	71	1.071	0.934	0.766
291	23	381.283	1160.283	0.855	72	1.482	0.675	0.807
292	37	382.932	1161.446	0.731	76	1.779	0.562	0.804
293	32	379.875	1162.281	0.645	77	1.387	0.721	0.842
294	104	383.077	1168.106	0.723	78	1.374	0.728	0.856
295	95	383.479	1174.742	0.790	79	1.105	0.905	0.837
